user_name,test_name,test_datetime,part_number,stage_serial
atempalski,SixDegree,2025-06-25 09:59:40,ABL1500-500-ES16890-83,488398-01
atempalski,SixDegree,2025-06-25 10:19:55,ABL1500-500-ES16890-83,488398-01
atempalski,Flatness,2025-06-25 13:46:51,ABL1500-500-ES16890-83,488398-01
atempalski,SixDegree,2025-06-26 09:02:19,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 09:42:43,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 09:51:41,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 10:30:56,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 10:52:19,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 11:12:57,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 11:24:31,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 12:55:42,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 13:00:34,ANT180L-260-ES16890-83,488399-01
atempalski,SixDegree,2025-06-26 13:51:44,ANT180L-260-ES16890-83,488399-01
gschliffka,Accuracy1DXY,2025-06-27 07:44:18,ANT130XY-160-E4,519742-01
cdelsignore,Accuracy,2025-06-27 10:04:22,AGS10000-ES19347-01,508872-01
mlegler,Accuracy,2025-06-29 08:49:13,PRO225LM-0536-ES19347-01,508876-01
mtrozzi,Accuracy,2025-06-29 15:02:48,ES19347-1,508875-01
mtrozzi,Accuracy,2025-06-29 15:15:09,ES19347-1,508875-01
mtrozzi,Accuracy,2025-06-29 15:32:12,ES19347-1,508875-01
gschliffka,Accuracy2D,2025-06-30 14:33:42,ANT130XY-160-E4,519742-01
nguy,Accuracy2D,2025-07-01 08:13:24,PRO165LM-310-ES18837,507846-05
ajung,Accuracy,2025-07-01 09:43:55,ABL1000WB-150-E2,515768-01
ajung,Accuracy,2025-07-01 09:52:57,ABL1000,515768-01
ajung,Accuracy,2025-07-01 09:54:22,ABL1000,515768-01
ajung,Accuracy,2025-07-01 09:54:45,ABL1000,515768-01
ajung,Accuracy,2025-07-01 10:16:55,ABL1000,515768-01
