sequence_id,start_time,end_time,num_stops,user_name,test_name,part_number,stage_serial
94,2025-08-22 08:22:34,2025-08-25 09:52:31,3,dyounge,Accuracy2D,PlanarDL-300XY,519147-01
95,2025-06-30 14:33:42,2025-07-07 11:05:39,3,gschliffka,Accuracy2D,ANT130XY-160-E4,519742-01
96,2025-08-28 14:26:32,2025-08-29 08:41:14,3,dyounge,Accuracy2D,PlanarDL-200XY,522737-01
97,2025-08-15 11:20:46,2025-08-15 15:24:23,7,nguy,Accuracy2D,PRO225LM-150,525827-01
98,2025-08-28 13:09:55,2025-08-28 13:09:55,1,nguy,Accuracy2D,ANT95XY-050,526567-01
99,2025-08-25 09:53:13,2025-08-26 09:18:04,3,bmowry,Accuracy2D,PRO165LM-0310,529015-01
100,2025-08-28 12:59:45,2025-08-28 17:09:10,2,bmowry,Accuracy2D,PRO165LM-0310,529028-01
101,2025-09-11 15:31:33,2025-09-11 15:31:33,1,nguy,Accuracy2D,ES18837,529031-01
102,2025-09-18 08:02:09,2025-09-18 08:02:09,1,nguy,Accuracy2D,ES18837,529046-01
103,2025-06-17 09:17:41,2025-06-17 09:19:11,2,lstahl,Accuracy2D,642056_lower_12kg_Lower,642056-1-1
104,2025-07-03 14:53:23,2025-07-03 14:58:40,2,mechassy,Accuracy2D,ANT130-XY,642061-1-1
105,2025-07-07 07:30:14,2025-07-07 07:31:55,2,lstahl,Accuracy2D,Y (Lower),642061-12kg-98-Ver
106,2025-07-07 07:35:53,2025-07-07 07:40:00,2,lstahl,Accuracy2D,Y (Lower),642061-12kg-98-ver
107,2025-07-21 09:33:26,2025-07-21 09:33:26,1,dyounge,Accuracy2D,ES18837-6,642065-01
108,2025-06-25 13:46:51,2025-06-25 13:46:51,1,atempalski,Flatness,ABL1500-500-ES16890-83,488398-01
109,2025-09-24 14:47:48,2025-09-24 14:47:48,1,dyounge,Flatness,PRO190LM-0300,494763-01
110,2025-06-19 09:57:35,2025-06-19 09:57:35,1,atempalski,Flatness,ES16890-66,506100-01
111,2025-06-10 06:35:58,2025-06-10 07:17:04,5,mtrozzi,Flatness,ABL1000WB-150-E2,510654-01
112,2025-08-19 12:44:55,2025-08-20 07:13:14,10,dyounge,Flatness,PlanarHD-500-500-ES20058,514270-01
113,2025-08-20 07:18:58,2025-08-20 08:30:10,6,dyounge,Flatness,PlanarHD-500-500-ES20058,514870-01
114,2025-07-01 11:07:35,2025-07-09 09:24:09,4,ajung,Flatness,ABL1000-100-E2,515769-01
115,2025-06-13 10:04:25,2025-06-13 10:04:25,1,nguy,Flatness,ABL1500-100,516834-01
116,2025-06-13 14:54:53,2025-06-13 14:54:53,1,nguy,Flatness,ABL1500-100,516835-01
117,2025-06-17 11:47:41,2025-06-18 15:19:28,6,nguy,Flatness,ABL1500-100,516836-01
118,2025-06-12 09:27:47,2025-06-12 09:39:30,3,mdepaoli,Flatness,MPS75SL,518166-03
119,2025-07-24 09:36:38,2025-07-24 09:36:38,1,bmowry,Flatness,ABL1500-100-E3,518266-01
120,2025-07-24 13:10:21,2025-07-24 13:10:21,1,bmowry,Flatness,ABL1500Z-050-E3,518267-01
121,2025-08-28 12:04:42,2025-08-28 13:46:39,6,dyounge,Flatness,PlanarDL-200XY,522737-01
122,2025-07-21 06:59:58,2025-07-21 06:59:58,1,dyounge,Flatness,ANT130LZS-060-ES17293-2,524865-01
123,2025-07-31 15:06:26,2025-07-31 15:38:48,2,nguy,Flatness,PlanarDL-200XY,525307-01
124,2025-06-11 09:18:16,2025-06-11 09:19:29,3,mdepaoli,Flatness,PRO165LM,525363-01
125,2025-08-28 13:39:16,2025-08-28 13:51:36,3,nguy,Flatness,ANT95XY-050,526567-01
126,2025-07-18 06:46:28,2025-07-18 06:52:27,5,mdepaoli,Flatness,ANT130LZ,527244-01
127,2025-07-16 15:08:13,2025-07-18 06:10:01,35,mdepaoli,Flatness,ANT130LZ,527244-02
128,2025-08-22 14:38:10,2025-08-22 14:38:10,1,dyounge,Flatness,ANT95LZ-025,527550-02
129,2025-09-05 13:21:29,2025-09-05 13:21:29,1,cdelsignore,Flatness,PlanarDL-200XY,531236-01
130,2025-09-24 13:47:08,2025-09-24 13:51:54,2,dyounge,Flatness,PRO190LM,533376-01
131,2025-08-01 15:03:37,2025-08-04 08:56:13,3,gschliffka,Repeat2D,PlanarHD-400-400-ES20029,494126-01
132,2025-08-22 12:12:01,2025-08-22 12:15:14,2,tbates,SixDegree,HEX300-230HL,229605-01
133,2025-06-02 15:38:00,2025-06-03 16:06:06,3,cdelsignore,SixDegree,PRO115SL-200,412825-01-01
134,2025-09-08 12:09:22,2025-09-08 12:09:22,1,cdelsignore,SixDegree,ANT95L-025,468258-01
135,2025-09-10 08:28:20,2025-09-10 08:31:30,2,mtrozzi,SixDegree,ANT95L-025-E1,468258-04
136,2025-09-16 08:44:08,2025-09-16 10:48:59,5,cdelsignore,SixDegree,PRO190SL-400,477203-01
137,2025-04-24 11:06:56,2025-04-24 11:06:56,1,cdelsignore,SixDegree,ANT95LZ-025-E1,486721-01
138,2025-06-25 09:59:40,2025-06-25 10:19:55,2,atempalski,SixDegree,ABL1500-500-ES16890-83,488398-01
139,2025-06-26 09:02:19,2025-06-26 13:51:44,10,atempalski,SixDegree,ANT180L-260-ES16890-83,488399-01
140,2025-08-07 09:07:50,2025-08-11 15:18:05,4,nguy,SixDegree,ANT180L-360-ES16890-72,502652-01
141,2025-08-20 14:23:38,2025-08-20 14:23:38,1,gschliffka,SixDegree,ANT130LZS-160-ES16890-72,502662-01
142,2025-08-20 19:01:27,2025-08-20 19:01:27,1,gschliffka,SixDegree,ANT180L-360-ES16890-72,502663-01
143,2025-08-07 11:28:32,2025-08-07 11:28:32,1,nguy,SixDegree,ANT130LZS-160-ES16890-72,502675-01
144,2025-06-19 08:37:29,2025-06-19 09:16:04,3,atempalski,SixDegree,ES16890-66,506095-01
145,2025-06-19 09:34:25,2025-06-19 10:05:04,7,atempalski,SixDegree,ES16890-66,506100-01
146,2025-09-09 13:00:35,2025-09-09 13:00:35,1,bmowry,SixDegree,ALS50100-ES17949,507311-01
147,2025-07-23 09:53:13,2025-07-23 09:53:48,2,ajung,SixDegree,PRO115SL-150-TT2-M1-FB2-12-LI1-PL2-TAS,507797-01
148,2025-07-10 08:55:13,2025-07-10 09:34:43,3,nguy,SixDegree,ANT180L-260-ES16890-66,508586-01
149,2025-07-10 10:33:27,2025-07-10 10:52:02,3,nguy,SixDegree,ANT95LZS-100-ES16890-66,508588-01
150,2025-08-13 13:52:32,2025-08-15 07:45:24,6,dyounge,SixDegree,ANT180L-260,508621-01
151,2025-08-14 11:32:24,2025-08-14 11:46:47,2,dyounge,SixDegree,ANT95L-100,508622-01
152,2025-05-12 10:39:08,2025-05-12 11:13:29,2,atempalski,SixDegree,ANT95L-075-ES20094,510680-01
153,2025-04-15 11:01:02,2025-04-15 11:01:02,1,cdelsignore,SixDegree,ANT130L-035-E1,510865-01
154,2025-05-02 11:10:43,2025-05-02 11:10:43,1,cdelsignore,SixDegree,PRO225LM-0500-E1,512627-01
155,2025-05-06 09:52:19,2025-05-06 09:55:04,2,cdelsignore,SixDegree,PRO165SV-E1,512629-01
156,2025-05-05 08:18:09,2025-05-05 11:02:59,2,cdelsignore,SixDegree,PRO190LM--0500-E1,512641-01
157,2025-05-06 13:25:07,2025-05-06 13:25:07,1,atempalski,SixDegree,ANT130LZS-060,513070-02
158,2025-05-28 11:38:39,2025-05-28 11:58:55,3,atempalski,SixDegree,PRO165LM-0300-ES17293-2,513072-04
159,2025-06-09 11:29:45,2025-06-09 11:33:47,2,atempalski,SixDegree,ANT130LZS-060,513074-02
160,2025-05-28 07:27:59,2025-05-28 09:51:20,13,atempalski,SixDegree,PRO165LM-0300-ES17293-1,513080-02
161,2025-06-09 09:29:08,2025-06-09 09:31:50,3,atempalski,SixDegree,PRO225LM-0415-ES17293-4,513081-01
162,2025-06-12 13:24:56,2025-06-12 13:24:56,1,atempalski,SixDegree,PRO165LM-0300-ES17293-1,513082-01
163,2025-05-28 10:19:59,2025-05-28 10:19:59,1,atempalski,SixDegree,PRO165LM-0300-ES17293-2,513089-02
164,2025-06-12 14:47:59,2025-06-12 14:49:33,2,atempalski,SixDegree,PRO165LM-0300-ES17293-2,513092-01
165,2025-05-22 07:20:12,2025-05-22 07:28:16,2,atempalski,SixDegree,PRO225LM-0415-ES17293-4,513346-02
166,2025-05-27 13:44:31,2025-05-27 13:44:31,1,atempalski,SixDegree,PRO225LM-0415-ES17293-4,513348-02
167,2025-06-12 11:02:57,2025-06-12 11:02:57,1,atempalski,SixDegree,PRO225LM-0415-ES17293-4,513353-01
168,2025-04-16 15:21:15,2025-04-16 15:22:35,2,cdelsignore,SixDegree,ANT130LZ-060-E1,513951-04
169,2025-08-26 15:19:39,2025-08-27 15:05:36,6,dyounge,SixDegree,PlanarHD-500-500-ES20058,514870-01
170,2025-09-08 08:17:07,2025-09-08 08:17:07,1,dyounge,SixDegree,MPS50SV-10-ES20058,514871-03
171,2025-08-29 10:44:11,2025-09-03 14:58:56,5,blamouree,SixDegree,ANT95LZS-025-E4,514872-01
172,2025-08-26 13:20:30,2025-08-26 13:20:30,1,dyounge,SixDegree,PlanarHD-500-500-ES20058,514993-01
173,2025-08-06 14:17:57,2025-08-06 16:04:35,3,blamouree,SixDegree,ES20104-1,515475-01
174,2025-06-10 16:14:57,2025-06-10 16:15:50,2,cdelsignore,SixDegree,PRO225LM-0400-E1,516210-01
175,2025-08-26 07:34:52,2025-08-26 08:00:56,4,dyounge,SixDegree,PRO190LM-0400,516360-01
176,2025-08-21 12:22:09,2025-08-22 09:30:37,6,bmowry,SixDegree,ES16715-18 (Leader),516387-01
177,2025-07-28 09:48:22,2025-07-28 09:56:03,2,ajung,SixDegree,PRO165SL-100-TT1-M6-3-LI1-CP2-TCMP-PL2-TAS,516421-01
178,2025-09-19 10:11:48,2025-09-19 10:11:48,1,fbello,SixDegree,ANT130LZS,519131-03-LZS-X
179,2025-09-19 11:16:56,2025-09-19 11:27:11,2,fbello,SixDegree,ANT130LZS,519131-03-LZS-X-0kg
180,2025-09-10 16:39:45,2025-09-10 16:39:45,1,fbello,SixDegree,ANT130LZS,519131-04-LZS-X-2
